date,open,high,low,close,volume,target_return
1639267,49354.85546875,50724.8671875,48725.8515625,50098.3359375,21939223599,0.0141956748501033
1639353,50114.7421875,50205.0,45894.84765625,46737.48046875,32166727776,0.0835076572561419
1639440,46709.82421875,48431.3984375,46424.49609375,46612.6328125,34638619079,0.0209433065104232
1639526,48379.75390625,49473.95703125,46671.96484375,48896.72265625,36541828520,-0.050146749834093
1639612,48900.46484375,49425.57421875,47529.87890625,47665.42578125,27268150947,-0.0102233594531675
1639699,47653.73046875,48004.89453125,45618.21484375,46202.14453125,32902725329,0.0022574878787164
1639785,46219.25390625,47313.828125,45598.44140625,46848.77734375,26098292690,0.0178880902291422
1639872,46853.8671875,48089.6640625,46502.953125,46707.015625,25154053861,0.013663967103443
1639958,46707.0625,47401.71875,45579.80859375,46880.27734375,30961902129,-0.0090050695125907
1640044,46886.078125,49300.91796875,46698.7734375,48936.61328125,27055803928,-0.0621015403136694
1640131,48937.09765625,49544.796875,48450.94140625,48628.51171875,24447979559,-0.1040440604426142
1640217,48626.34375,51332.33984375,48065.8359375,50784.5390625,28223878108,-0.1501167385927773
1640304,50806.05078125,51814.02734375,50514.49609375,50822.1953125,24367912228,-0.1822883272118588
1640390,50854.91796875,51176.59765625,50236.70703125,50429.859375,19030650914,-0.1724358956483804
1640476,50428.69140625,51196.37890625,49623.10546875,50809.515625,20964372926,-0.1751229853905933
1640563,50802.609375,51956.328125,50499.46875,50640.41796875,24324345758,-0.1741525169765041
1640649,50679.859375,50679.859375,47414.2109375,47588.85546875,33430376883,-0.1019776574199562
1640736,47623.87109375,48119.7421875,46201.49609375,46444.7109375,30049226299,-0.0537329078946859
1640822,46490.60546875,47879.96484375,46060.3125,47178.125,26686491018,-0.0972178247333906
1640908,47169.37109375,48472.52734375,45819.953125,46306.4453125,36974172400,-0.0692505346093661
1640995,46311.74609375,47827.3125,46288.484375,47686.8125,24582667004,-0.0945631260739015
1641081,47680.92578125,47881.40625,46856.9375,47345.21875,27951569547,-0.0893720623848632
1641168,47343.54296875,47510.7265625,45835.96484375,46458.1171875,33071628362,-0.0905668731530533
1641254,46458.8515625,47406.546875,45752.46484375,45897.57421875,42494677905,-0.0767348049695232
1641340,45899.359375,46929.046875,42798.22265625,43569.00390625,36851084859,-0.0418801353635778
1641427,43565.51171875,43748.71875,42645.5390625,43160.9296875,30208048289,-0.0574712300385964
1641513,43153.5703125,43153.5703125,41077.4453125,41557.90234375,84196607520,-0.1227344415824945
1641600,41561.46484375,42228.94140625,40672.27734375,41733.94140625,28066355845,-0.1606292427785425
1641686,41734.7265625,42663.94921875,41338.16015625,41911.6015625,21294384372,-0.1344447996480687
1641772,41910.23046875,42199.484375,39796.5703125,41821.26171875,32104232331,-0.1235480083909921
1641859,41819.5078125,43001.15625,41407.75390625,42735.85546875,26327648900,-0.1352927535691405
1641945,42742.1796875,44135.3671875,42528.98828125,43949.1015625,33499938689,-0.1614818100128255
1642032,43946.7421875,44278.421875,42447.04296875,42591.5703125,47691135082,-0.1280379168339686
1642118,42598.87109375,43346.6875,41982.6171875,43099.69921875,23577403399,-0.123327245522577
1642204,43101.8984375,43724.671875,42669.03515625,43177.3984375,18371348298,-0.1167096428307127
1642291,43172.0390625,43436.80859375,42691.0234375,43113.87890625,17902097845,-0.1205244685835197
1642377,43118.12109375,43179.390625,41680.3203125,42250.55078125,21690904261,-0.0891686785518051
1642464,42250.07421875,42534.40234375,41392.21484375,42375.6328125,22417209227,-0.0857181151977634
1642550,42374.0390625,42478.3046875,41242.9140625,41744.328125,23091543258,-0.1147783175633516
1642636,41744.02734375,43413.0234375,40672.82421875,40680.41796875,20382033940,-0.0866710958810322
1642723,40699.60546875,41060.52734375,35791.42578125,36457.31640625,43011992031,0.138341465881602
1642809,36471.58984375,36688.8125,34349.25,35030.25,39714385405,0.1830107995946361
1642896,35047.359375,36433.3125,34784.96875,36276.8046875,26017975951,0.1691336643098604
1642982,36275.734375,37247.51953125,33184.05859375,36654.328125,41856658597,0.196046617107376
1643068,36654.8046875,37444.5703125,35779.4296875,36954.00390625,26428189594,0.1938745642941897
1643155,36950.515625,38825.41015625,36374.90625,36852.12109375,31324598034,0.2031545419652849
1643241,36841.87890625,37148.32421875,35629.28125,37138.234375,25041426629,0.1730528931815973
1643328,37128.4453125,37952.87890625,36211.109375,37784.33203125,22238830523,0.1223683262397226
1643414,37780.71484375,38576.26171875,37406.47265625,38138.1796875,17194183075,0.1076687218988026
1643500,38151.91796875,38266.33984375,37437.7109375,37917.6015625,14643548444,0.112874071305522
1643587,37920.28125,38647.26171875,36733.57421875,38483.125,20734730465,0.1066387661799814
1643673,38481.765625,39115.1328125,38113.6640625,38743.2734375,20288500328,0.1505275411719655
1643760,38743.71484375,38834.6171875,36832.73046875,36952.984375,19155189416,0.1896700663977157
1643846,36944.8046875,37154.6015625,36375.5390625,37154.6015625,18591534769,0.0910630181448335
1643932,37149.265625,41527.78515625,37093.62890625,41500.875,29412210792,-0.0354184926823831
1644019,41501.48046875,41847.1640625,41038.09765625,41441.1640625,19652846215,-0.0318284450338007
1644105,41441.12109375,42500.78515625,41244.90625,42412.43359375,16142097334,-0.0938652736985754
1644192,42406.78125,44401.86328125,41748.15625,43840.28515625,28641855926,-0.1543102167820995
1644278,43854.65234375,45293.8671875,42807.8359375,44118.4453125,33079398868,-0.1321990819811938
1644364,44096.703125,44727.80078125,43232.96875,44338.796875,23245887300,-0.1588276421291595
